"Date","Category","Net worth","Assets","Real estate","Consumer durables","Corporate equities and mutual fund shares","Pension entitlements","Private businesses","Other assets","Liabilities","Home mortgages","Consumer credit","Other liabilities"
"1989:Q3","Top1",4810519,4928550,595677,358901,877897,410737,1334079,1351260,118031,72410,24907,20714
"1989:Q3","Next9",7609401,8110360,2065336,421358,810145,1805000,1027351,1981170,500959,391286,56570,53103
"1989:Q3","Next40",7250940,8822130,3420503,757337,341040,2072899,567677,1662674,1571191,1170708,364798,35684
"1989:Q3","Bottom50",760296,1702692,810437,358755,22212,197139,48111,266039,942396,576287,337931,28178
"1989:Q4","Top1",4932121,5052411,635298,363024,901284,429931,1342322,1380553,120290,74203,23229,22858
"1989:Q4","Next9",7746260,8260319,2108485,418887,829881,1840981,1045916,2016170,514059,402011,60022,52027
"1989:Q4","Next40",7392313,8984843,3439533,775057,358494,2143229,566998,1701532,1592530,1187048,370415,35067
"1989:Q4","Bottom50",745094,1724947,811001,368806,23893,199980,49282,271985,979853,596853,355619,27381
"1990:Q1","Top1",4931241,5056431,671897,353180,838658,434950,1356892,1400854,125190,77328,23328,24535
"1990:Q1","Next9",7750253,8286333,2100698,434453,783661,1880522,1048458,2038541,536080,422577,59774,53729
"1990:Q1","Next40",7521373,9126581,3501990,798415,348009,2180438,568969,1728761,1605208,1212727,356275,36206
"1990:Q1","Bottom50",750997,1753583,823547,381080,24256,197289,49129,278281,1002586,622279,352943,27363
"1990:Q2","Top1",5036501,5164654,700979,357131,878550,454131,1368363,1405500,128153,80159,22079,25915
"1990:Q2","Next9",7827239,8384440,2126359,430678,804360,1924816,1045553,2052674,557201,442382,61681,53137
"1990:Q2","Next40",7573404,9196478,3488649,814079,354799,2218245,569920,1750786,1623073,1233074,353966,36033
"1990:Q2","Bottom50",745903,1773300,820881,390623,26385,202638,48225,284548,1027397,639796,360986,26615
"1990:Q3","Top1",4904293,5034556,715420,340380,701238,448707,1378144,1450666,130263,82210,20788,27264
"1990:Q3","Next9",7769762,8338058,2102969,446553,676372,1971674,1057257,2083232,568296,455508,64148,48640
"1990:Q3","Next40",7600589,9238477,3508435,831897,315235,2240260,566775,1775875,1637888,1250003,354434,33451
"1990:Q3","Bottom50",756305,1813044,859414,397416,24818,190820,48815,291761,1056739,659016,372931,24792
"1990:Q4","Top1",5060448,5192990,740926,332103,795269,462015,1368174,1494504,132542,83305,20027,29211
"1990:Q4","Next9",7897555,8474339,2065254,455256,750538,1993632,1086135,2123523,576783,460049,66326,50408
"1990:Q4","Next40",7759675,9410705,3516742,845843,356538,2317405,556466,1817712,1651030,1263482,353342,34206
"1990:Q4","Bottom50",734294,1826096,848206,405918,27752,197007,52197,295015,1091802,682419,384696,24687
"1991:Q1","Top1",5240425,5376722,756229,333801,933854,488114,1362829,1501896,136298,84464,20622,31211
"1991:Q1","Next9",8059677,8641694,2092832,454875,859933,1989879,1102390,2141786,582016,465692,65437,50887
"1991:Q1","Next40",7930643,9578176,3487860,861963,415120,2408689,552986,1851557,1647533,1275882,336819,34832
"1991:Q1","Bottom50",778289,1885219,875927,417190,31333,209376,54980,296413,1106930,703114,379329,24488
"1991:Q2","Top1",5254197,5393296,770488,326024,925663,523255,1357208,1490658,139100,87253,19787,32060
"1991:Q2","Next9",8039638,8641286,2097731,459089,850057,2008690,1098027,2127694,601648,484980,66633,50035
"1991:Q2","Next40",7955607,9617316,3476094,874900,416005,2449478,550545,1850295,1661709,1296339,331107,34262
"1991:Q2","Bottom50",801962,1930728,906901,423694,32775,212809,54594,299955,1128766,721541,383778,23446
"1991:Q3","Top1",5365965,5506193,792163,309821,1001885,565262,1355369,1481693,140227,89554,17705,32968
"1991:Q3","Next9",8027860,8656446,2060998,474437,901740,2019563,1073851,2125857,628587,505181,68464,54942
"1991:Q3","Next40",8094769,9763679,3504321,887990,442145,2508554,554364,1866305,1668910,1303329,328171,37411
"1991:Q3","Bottom50",843180,1971245,926194,431195,35631,221413,53469,303343,1128065,715904,388160,24000
"1991:Q4","Top1",5601321,5743786,792731,302501,1208849,584499,1355133,1500074,142466,92507,15709,34250
"1991:Q4","Next9",8202580,8861863,2088636,478196,1050400,2039999,1054656,2149976,659283,527406,71172,60704
"1991:Q4","Next40",8220030,9911709,3474425,898577,510292,2593908,560602,1873905,1691679,1321340,329498,40841
"1991:Q4","Bottom50",908863,2059093,993321,438115,40387,229432,53440,304398,1150231,726103,399201,24926
"1992:Q1","Top1",5580708,5726828,829031,299268,1173909,570697,1361681,1492244,146120,96243,13928,35950
"1992:Q1","Next9",8215474,8904376,2121703,475252,1026245,2112611,1055813,2112751,688901,559935,71203,57764
"1992:Q1","Next40",8293346,9985809,3494088,912644,510762,2647821,558811,1861682,1692464,1335302,316674,40488
"1992:Q1","Bottom50",939192,2070716,1000805,444931,41429,223884,54135,305532,1131523,716242,391548,23734
"1992:Q2","Top1",5586043,5733991,866092,293925,1176598,579296,1349570,1468509,147948,99191,11425,37332
"1992:Q2","Next9",8222143,8941462,2116873,476825,1021868,2181370,1051508,2093019,719319,585416,73139,60765
"1992:Q2","Next40",8368727,10070835,3510209,928501,513671,2703284,552930,1862240,1702108,1346384,312832,42892
"1992:Q2","Bottom50",942966,2071589,985361,453827,43271,224884,54223,310022,1128623,709705,394937,23982
"1992:Q3","Top1",5651981,5802342,872803,271763,1236478,590494,1358746,1472058,150361,101674,9982,38705
"1992:Q3","Next9",8307804,9046122,2103433,496673,1061422,2244771,1046532,2093291,738318,602528,75417,60373
"1992:Q3","Next40",8505306,10224693,3532581,941999,536897,2777921,553878,1881417,1719386,1364972,311610,42804
"1992:Q3","Bottom50",1003785,2158049,1055171,461107,45910,227389,54547,313925,1154265,726152,404924,23188
"1992:Q4","Top1",5904654,6059439,878456,278356,1438852,562896,1379253,1521626,154785,105946,10020,38819
"1992:Q4","Next9",8466191,9204880,2099890,496635,1180875,2344923,1010608,2071950,738689,605808,75992,56889
"1992:Q4","Next40",8705958,10442065,3594152,945562,583655,2867179,564568,1886949,1736107,1374146,318700,43261
"1992:Q4","Bottom50",991691,2193302,1070483,472702,49327,231235,53618,315937,1201611,754454,420056,27101
"1993:Q1","Top1",6132760,6292369,891658,309591,1519929,589701,1410120,1571370,159610,109276,11526,38808
"1993:Q1","Next9",8543380,9278733,2151012,465816,1212282,2384402,1017876,2047345,735353,604649,73006,57699
"1993:Q1","Next40",8741316,10467521,3580676,947444,593951,2928227,559972,1857251,1726205,1371723,308312,46170
"1993:Q1","Bottom50",965786,2180915,1030708,483550,51052,242602,55576,317427,1215129,768541,414419,32170
"1993:Q2","Top1",6236434,6401347,883518,312093,1565674,586180,1448587,1605295,164913,113600,12559,38754
"1993:Q2","Next9",8569116,9302682,2152164,472063,1225257,2438633,1003361,2011204,733566,607330,72332,53904
"1993:Q2","Next40",8847596,10587620,3631236,955851,601220,2983575,567095,1848642,1740024,1384094,309784,46146
"1993:Q2","Bottom50",984544,2247180,1076985,496245,52138,246358,55417,320037,1262635,802805,423987,35843
"1993:Q3","Top1",6400921,6570299,877214,311986,1667453,586090,1481874,1645682,169378,117279,13551,38548
"1993:Q3","Next9",8647218,9379394,2139532,481712,1272404,2497598,1003037,1985112,732177,603123,72616,56438
"1993:Q3","Next40",8974211,10734034,3694027,963574,618233,3041500,567533,1849166,1759824,1394466,316260,49098
"1993:Q3","Bottom50",992017,2316555,1121360,508607,54164,252403,56370,323649,1324538,843149,440241,41147
"1993:Q4","Top1",6588946,6761128,876877,321663,1769455,567971,1517609,1707553,172182,121188,12742,38251
"1993:Q4","Next9",8754553,9490050,2156140,482135,1324315,2555965,1006462,1965033,735497,603451,74995,57050
"1993:Q4","Next40",9103205,10888973,3739331,975050,640064,3096076,567748,1870704,1785767,1402093,332331,51343
"1993:Q4","Bottom50",984537,2368974,1149177,523230,56118,255880,57966,326603,1384436,872446,466100,45890
"1994:Q1","Top1",6704541,6882234,881971,340878,1699092,559223,1570432,1830638,177693,124317,14659,38718
"1994:Q1","Next9",8815108,9538688,2202315,466866,1255351,2618297,1015803,1980056,723579,596579,73018,53982
"1994:Q1","Next40",9091784,10876284,3750696,983586,613673,3125810,565471,1837048,1784500,1404958,327516,52026
"1994:Q1","Bottom50",960700,2383176,1149031,534707,55534,254894,59124,329885,1422476,903615,468684,50178
"1994:Q2","Top1",6858929,7040696,887846,349457,1690097,583096,1634564,1895637,181768,128610,14035,39123
"1994:Q2","Next9",8784739,9511408,2212200,467495,1211849,2669439,1009335,1941090,726669,600909,74645,51115
"1994:Q2","Next40",9137701,10945392,3805885,994570,586295,3143721,568722,1846200,1807691,1414547,339893,53250
"1994:Q2","Bottom50",950219,2425388,1164237,548027,56179,262130,57644,337171,1475168,930556,490007,54605
"1994:Q3","Top1",7017301,7202597,890517,350344,1748719,591685,1665945,1955386,185296,132792,13248,39256
"1994:Q3","Next9",8840054,9567188,2186006,478834,1222084,2733367,1018227,1928670,727133,603674,76789,46671
"1994:Q3","Next40",9251890,11084696,3882909,1005541,584360,3189654,562071,1860162,1832807,1424423,355028,53355
"1994:Q3","Bottom50",948163,2481597,1188106,561780,57715,271204,58705,344088,1533434,960160,514888,58386
"1994:Q4","Top1",7214799,7402234,908379,355364,1756789,576658,1720071,2084974,187435,137102,11029,39304
"1994:Q4","Next9",8839338,9578017,2160590,481800,1193536,2794722,1017938,1929431,738679,608800,80798,49081
"1994:Q4","Next40",9307102,11177958,3963989,1014069,565022,3196149,560898,1877831,1870857,1434181,379381,57295
"1994:Q4","Bottom50",887637,2487516,1173101,572930,58562,272732,58272,351919,1599880,985857,549960,64062
"1995:Q1","Top1",7483562,7675873,901121,365832,1903055,615759,1769925,2120181,192311,140350,12272,39689
"1995:Q1","Next9",8953558,9680707,2163865,482994,1256028,2837738,1016106,1923976,727149,604720,79452,42977
"1995:Q1","Next40",9415783,11286186,3989747,1024457,579009,3253268,559122,1880585,1870403,1435953,377465,56985
"1995:Q1","Bottom50",920295,2554271,1197338,587416,61540,290706,58432,358838,1633976,1010903,555357,67716
