"Date","Category","Net worth","Assets","Real estate","Consumer durables","Corporate equities and mutual fund shares","Pension entitlements","Private businesses","Other assets","Liabilities","Home mortgages","Consumer credit","Other liabilities"
"1989:Q3","Top1",23.5,20.9,8.6,18.9,42.8,9.2,44.8,25.7,3.8,3.3,3.2,15
"1989:Q3","Next9",37.2,34.4,30,22.2,39.5,40.2,34.5,37.7,16,17.7,7.2,38.6
"1989:Q3","Next40",35.5,37.4,49.6,39.9,16.6,46.2,19.1,31.6,50.2,53,46.5,25.9
"1989:Q3","Bottom50",3.7,7.2,11.8,18.9,1.1,4.4,1.6,5.1,30.1,26.1,43.1,20.5
"1989:Q4","Top1",23.7,21,9.1,18.9,42.6,9.3,44.7,25.7,3.8,3.3,2.9,16.6
"1989:Q4","Next9",37.2,34.4,30.1,21.8,39.3,39.9,34.8,37.5,16,17.8,7.4,37.9
"1989:Q4","Next40",35.5,37.4,49.2,40.2,17,46.4,18.9,31.7,49.7,52.5,45.8,25.5
"1989:Q4","Bottom50",3.6,7.2,11.6,19.2,1.1,4.3,1.6,5.1,30.6,26.4,43.9,19.9
"1990:Q1","Top1",23.5,20.9,9.5,18,42,9.3,44.9,25.7,3.8,3.3,2.9,17.3
"1990:Q1","Next9",37,34.2,29.6,22.1,39.3,40.1,34.7,37.4,16.4,18.1,7.5,37.9
"1990:Q1","Next40",35.9,37.7,49.3,40.6,17.4,46.5,18.8,31.7,49.1,51.9,45,25.5
"1990:Q1","Bottom50",3.6,7.2,11.6,19.4,1.2,4.2,1.6,5.1,30.7,26.7,44.5,19.3
"1990:Q2","Top1",23.8,21.1,9.8,17.9,42.6,9.5,45.1,25.6,3.8,3.3,2.8,18.3
"1990:Q2","Next9",37,34.2,29.8,21.6,39,40.1,34.5,37.4,16.7,18.5,7.7,37.5
"1990:Q2","Next40",35.8,37.5,48.9,40.9,17.2,46.2,18.8,31.9,48.7,51.5,44.3,25.4
"1990:Q2","Bottom50",3.5,7.2,11.5,19.6,1.3,4.2,1.6,5.2,30.8,26.7,45.2,18.8
"1990:Q3","Top1",23.3,20.6,10,16.9,40.8,9.2,45.2,25.9,3.8,3.4,2.6,20.3
"1990:Q3","Next9",36.9,34.1,29.3,22.1,39.4,40.6,34.7,37.2,16.7,18.6,7.9,36.3
"1990:Q3","Next40",36.1,37.8,48.8,41.3,18.4,46.2,18.6,31.7,48.3,51.1,43.6,24.9
"1990:Q3","Bottom50",3.6,7.4,12,19.7,1.4,3.9,1.6,5.2,31.1,26.9,45.9,18.5
"1990:Q4","Top1",23.6,20.9,10.3,16.3,41.2,9.3,44.7,26.1,3.8,3.3,2.4,21.1
"1990:Q4","Next9",36.8,34,28.8,22.3,38.9,40.1,35.5,37.1,16.7,18.5,8,36.4
"1990:Q4","Next40",36.2,37.8,49,41.5,18.5,46.6,18.2,31.7,47.8,50.8,42.9,24.7
"1990:Q4","Bottom50",3.4,7.3,11.8,19.9,1.4,4,1.7,5.1,31.6,27.4,46.7,17.8
"1991:Q1","Top1",23.8,21.1,10.5,16.1,41.7,9.6,44.3,25.9,3.9,3.3,2.6,22.1
"1991:Q1","Next9",36.6,33.9,29,22,38.4,39,35.9,37,16.8,18.4,8.2,36
"1991:Q1","Next40",36,37.6,48.4,41.7,18.5,47.3,18,32,47.4,50.4,42,24.6
"1991:Q1","Bottom50",3.5,7.4,12.1,20.2,1.4,4.1,1.8,5.1,31.9,27.8,47.3,17.3
"1991:Q2","Top1",23.8,21.1,10.6,15.6,41.6,10.1,44.3,25.8,3.9,3.4,2.5,22.9
"1991:Q2","Next9",36.5,33.8,28.9,22,38.2,38.7,35.9,36.9,17,18.7,8.3,35.8
"1991:Q2","Next40",36.1,37.6,47.9,42,18.7,47.2,18,32.1,47.1,50,41.3,24.5
"1991:Q2","Bottom50",3.6,7.5,12.5,20.3,1.5,4.1,1.8,5.2,32,27.9,47.9,16.8
"1991:Q3","Top1",24,21.3,10.9,14.7,42.1,10.6,44.6,25.6,3.9,3.4,2.2,22.1
"1991:Q3","Next9",35.9,33.4,28.3,22.6,37.9,38,35.4,36.8,17.6,19.3,8.5,36.8
"1991:Q3","Next40",36.2,37.7,48.1,42.2,18.6,47.2,18.3,32.3,46.8,49.9,40.9,25.1
"1991:Q3","Bottom50",3.8,7.6,12.7,20.5,1.5,4.2,1.8,5.3,31.6,27.4,48.4,16.1
"1991:Q4","Top1",24.4,21.6,10.8,14.3,43,10.7,44.8,25.7,3.9,3.5,1.9,21.3
"1991:Q4","Next9",35.8,33.3,28.4,22.6,37.4,37.4,34.9,36.9,18.1,19.8,8.7,37.8
"1991:Q4","Next40",35.8,37.3,47.3,42.4,18.2,47.6,18.5,32.2,46.4,49.5,40.4,25.4
"1991:Q4","Bottom50",4,7.7,13.5,20.7,1.4,4.2,1.8,5.2,31.6,27.2,48.9,15.5
"1992:Q1","Top1",24.2,21.5,11.1,14,42.7,10.3,44.9,25.9,4,3.6,1.8,22.8
"1992:Q1","Next9",35.7,33.4,28.5,22.3,37.3,38,34.8,36.6,18.8,20.7,9,36.6
"1992:Q1","Next40",36,37.4,46.9,42.8,18.6,47.7,18.4,32.3,46.3,49.3,39.9,25.6
"1992:Q1","Bottom50",4.1,7.8,13.4,20.9,1.5,4,1.8,5.3,30.9,26.5,49.4,15
"1992:Q2","Top1",24.2,21.4,11.6,13.7,42.7,10.2,44.9,25.6,4,3.6,1.4,22.6
"1992:Q2","Next9",35.6,33.3,28.3,22.1,37.1,38.3,35,36.5,19.5,21.4,9.2,36.8
"1992:Q2","Next40",36.2,37.6,46.9,43.1,18.6,47.5,18.4,32.5,46,49.1,39.5,26
"1992:Q2","Bottom50",4.1,7.7,13.2,21.1,1.6,4,1.8,5.4,30.5,25.9,49.8,14.5
"1992:Q3","Top1",24.1,21.3,11.5,12.5,42.9,10.1,45.1,25.6,4,3.6,1.2,23.4
"1992:Q3","Next9",35.4,33.2,27.8,22.9,36.8,38.4,34.7,36.3,19.6,21.6,9.4,36.6
"1992:Q3","Next40",36.2,37.5,46.7,43.4,18.6,47.6,18.4,32.7,45.7,48.8,38.9,25.9
"1992:Q3","Bottom50",4.3,7.9,13.9,21.2,1.6,3.9,1.8,5.4,30.7,26,50.5,14
"1992:Q4","Top1",24.5,21.7,11.5,12.7,44.2,9.4,45.9,26.3,4,3.7,1.2,23.4
"1992:Q4","Next9",35.2,33,27.5,22.6,36.3,39,33.6,35.7,19.3,21.3,9.2,34.3
"1992:Q4","Next40",36.2,37.4,47,43.1,17.9,47.7,18.8,32.6,45.3,48.4,38.6,26.1
"1992:Q4","Bottom50",4.1,7.9,14,21.6,1.5,3.8,1.8,5.5,31.4,26.6,50.9,16.3
"1993:Q1","Top1",25.2,22.3,11.6,14,45,9.6,46.3,27.1,4.2,3.8,1.4,22.2
"1993:Q1","Next9",35,32.9,28.1,21.1,35.9,38.8,33.4,35.3,19.2,21.2,9,33
"1993:Q1","Next40",35.8,37.1,46.8,42.9,17.6,47.7,18.4,32.1,45,48.1,38.2,26.4
"1993:Q1","Bottom50",4,7.7,13.5,21.9,1.5,3.9,1.8,5.5,31.7,26.9,51.3,18.4
"1993:Q2","Top1",25.3,22.4,11.4,14,45.5,9.4,47.1,27.7,4.2,3.9,1.5,22.2
"1993:Q2","Next9",34.8,32.6,27.8,21.1,35.6,39,32.6,34.8,18.8,20.9,8.8,30.9
"1993:Q2","Next40",35.9,37.1,46.9,42.7,17.5,47.7,18.4,32,44.6,47.6,37.8,26.4
"1993:Q2","Bottom50",4,7.9,13.9,22.2,1.5,3.9,1.8,5.5,32.4,27.6,51.8,20.5
"1993:Q3","Top1",25.6,22.7,11.2,13.8,46.2,9.2,47.7,28.4,4.2,4,1.6,20.8
"1993:Q3","Next9",34.6,32.3,27.3,21.3,35.2,39.2,32.3,34.2,18.4,20.4,8.6,30.5
"1993:Q3","Next40",35.9,37,47.2,42.5,17.1,47.7,18.3,31.9,44.2,47.1,37.5,26.5
"1993:Q3","Bottom50",4,8,14.3,22.4,1.5,4,1.8,5.6,33.2,28.5,52.2,22.2
"1993:Q4","Top1",25.9,22.9,11.1,14,46.7,8.8,48.2,29.1,4.2,4,1.4,19.9
"1993:Q4","Next9",34.4,32.2,27.2,20.9,34.9,39.5,32,33.5,18,20.1,8.5,29.6
"1993:Q4","Next40",35.8,36.9,47.2,42.4,16.9,47.8,18,31.9,43.8,46.7,37.5,26.7
"1993:Q4","Bottom50",3.9,8,14.5,22.7,1.5,4,1.8,5.6,33.9,29.1,52.6,23.8
"1994:Q1","Top1",26.2,23.2,11,14.7,46.9,8.5,48.9,30.6,4.3,4.1,1.7,19.9
"1994:Q1","Next9",34.5,32.1,27.6,20.1,34.6,39.9,31.6,33.1,17.6,19.7,8.3,27.7
"1994:Q1","Next40",35.6,36.6,47,42.3,16.9,47.7,17.6,30.7,43.4,46.4,37.1,26.7
"1994:Q1","Bottom50",3.8,8,14.4,23,1.5,3.9,1.8,5.5,34.6,29.8,53,25.7
"1994:Q2","Top1",26.7,23.5,11,14.8,47.7,8.8,50,31.5,4.3,4.2,1.5,19.7
"1994:Q2","Next9",34.1,31.8,27.4,19.8,34.2,40.1,30.9,32.2,17.3,19.5,8.1,25.8
"1994:Q2","Next40",35.5,36.6,47.2,42.2,16.5,47.2,17.4,30.7,43.1,46,37,26.9
"1994:Q2","Bottom50",3.7,8.1,14.4,23.2,1.6,3.9,1.8,5.6,35.2,30.3,53.3,27.6
"1994:Q3","Top1",26.9,23.7,10.9,14.6,48.4,8.7,50.4,32.1,4.3,4.3,1.4,19.9
"1994:Q3","Next9",33.9,31.5,26.8,20,33.8,40.3,30.8,31.7,17,19.3,8,23.6
"1994:Q3","Next40",35.5,36.5,47.7,42,16.2,47,17,30.6,42.8,45.6,37,27
