Year,Qtr,Labor productivity,Output,Hours worked,Hourly compensation,Employment,Real hourly compensation,Average weekly hours worked,Unit labor costs,Unit nonlabor payments,Labor share,Compensation,Implicit price deflator,Current dollar output,Nonlabor payments,Output per job,Consumer price series
,,,,(billions of hours worked),(current dollars per hour worked),(millions of jobs),(CPI-adjusted dollars per hour worked),(hours worked per job per week),,,(percentage),(billions of current dollars),,(billions of current dollars),(billions of current dollars),,
1947,1,#N/A,11.096,104.152,1.243,52.914,3.558,37.9,#N/A,#N/A,65.4,129.468,#N/A,198.094,68.626,#N/A,34.9
1947,2,#N/A,11.13,104.017,1.279,52.722,3.61,37.9,#N/A,#N/A,66.1,133.052,#N/A,201.43,68.378,#N/A,35.4
1947,3,#N/A,11.104,104.823,1.298,53.319,3.586,37.8,#N/A,#N/A,66.0,136.088,#N/A,206.274,70.186,#N/A,36.2
1947,4,#N/A,11.336,105.618,1.346,53.799,3.615,37.8,#N/A,#N/A,65.7,142.172,#N/A,216.423,74.251,#N/A,37.2
1948,1,#N/A,11.541,105.074,1.364,53.661,3.588,37.7,#N/A,#N/A,64.6,143.356,#N/A,221.921,78.565,#N/A,38.0
1948,2,#N/A,11.781,105.124,1.38,53.407,3.571,37.9,#N/A,#N/A,63.5,145.028,#N/A,228.281,83.253,#N/A,38.6
1948,3,#N/A,11.831,106.086,1.417,54.114,3.608,37.7,#N/A,#N/A,64.4,150.355,#N/A,233.624,83.269,#N/A,39.3
1948,4,#N/A,11.822,105.406,1.447,53.976,3.718,37.6,#N/A,#N/A,65.2,152.523,#N/A,234.0,81.477,#N/A,38.9
1949,1,#N/A,11.62,103.925,1.418,53.452,3.68,37.4,#N/A,#N/A,64.7,147.408,#N/A,227.735,80.327,#N/A,38.5
1949,2,#N/A,11.562,102.986,1.405,52.87,3.649,37.5,#N/A,#N/A,64.6,144.683,#N/A,223.807,79.124,#N/A,38.5
1949,3,#N/A,11.701,101.302,1.424,52.358,3.73,37.2,#N/A,#N/A,64.0,144.27,#N/A,225.328,81.058,#N/A,38.2
1949,4,#N/A,11.579,100.005,1.438,51.713,3.774,37.2,#N/A,#N/A,64.7,143.76,#N/A,222.36,78.6,#N/A,38.1
1950,1,#N/A,12.137,100.312,1.488,51.653,3.918,37.3,#N/A,#N/A,64.2,149.226,#N/A,232.582,83.356,#N/A,38.0
1950,2,#N/A,12.548,102.551,1.505,52.805,3.934,37.3,#N/A,#N/A,63.9,154.365,#N/A,241.558,87.193,#N/A,38.3
1950,3,#N/A,13.075,105.192,1.532,53.908,3.931,37.5,#N/A,#N/A,62.6,161.124,#N/A,257.435,96.311,#N/A,39.0
1950,4,#N/A,13.219,105.833,1.56,54.09,3.923,37.6,#N/A,#N/A,62.0,165.063,#N/A,266.085,101.022,#N/A,39.8
1951,1,#N/A,13.348,106.921,1.614,54.431,3.901,37.8,#N/A,#N/A,61.9,172.549,#N/A,278.53,105.981,#N/A,41.4
1951,2,#N/A,13.477,107.475,1.661,54.688,3.975,37.8,#N/A,#N/A,62.8,178.471,#N/A,283.98,105.509,#N/A,41.8
1951,3,#N/A,13.696,106.197,1.685,54.353,4.035,37.6,#N/A,#N/A,62.0,178.922,#N/A,288.614,109.692,#N/A,41.8
1951,4,#N/A,13.703,106.563,1.707,54.597,4.028,37.5,#N/A,#N/A,62.3,181.86,#N/A,291.694,109.834,#N/A,42.4
1952,1,#N/A,13.831,107.046,1.719,54.7,4.043,37.6,#N/A,#N/A,62.7,184.043,#N/A,293.346,109.303,#N/A,42.5
1952,2,#N/A,13.803,105.936,1.753,54.331,4.11,37.5,#N/A,#N/A,63.4,185.678,#N/A,292.791,107.113,#N/A,42.6
1952,3,#N/A,13.881,106.28,1.782,54.482,4.151,37.5,#N/A,#N/A,63.6,189.395,#N/A,297.805,108.41,#N/A,42.9
1952,4,#N/A,14.447,108.875,1.823,55.592,4.24,37.7,#N/A,#N/A,64.0,198.431,#N/A,310.023,111.592,#N/A,43.0
1953,1,#N/A,14.754,109.42,1.855,55.792,4.327,37.7,#N/A,#N/A,64.2,202.926,#N/A,316.105,113.179,#N/A,42.9
1953,2,#N/A,14.856,109.27,1.872,55.774,4.353,37.7,#N/A,#N/A,64.2,204.607,#N/A,318.583,113.976,#N/A,43.0
1953,3,#N/A,14.72,108.313,1.9,55.71,4.398,37.4,#N/A,#N/A,64.9,205.842,#N/A,317.355,111.513,#N/A,43.2
1953,4,#N/A,14.444,106.519,1.9,54.922,4.388,37.3,#N/A,#N/A,64.9,202.359,#N/A,311.644,109.285,#N/A,43.3
1954,1,#N/A,14.354,105.851,1.912,54.566,4.406,37.3,#N/A,#N/A,65.2,202.362,#N/A,310.462,108.1,#N/A,43.4
1954,2,#N/A,14.351,104.39,1.94,54.021,4.478,37.2,#N/A,#N/A,65.4,202.539,#N/A,309.792,107.253,#N/A,43.3
1954,3,#N/A,14.522,103.993,1.945,54.006,4.501,37.0,#N/A,#N/A,64.5,202.269,#N/A,313.606,111.337,#N/A,43.2
1954,4,#N/A,14.835,104.72,1.973,54.12,4.58,37.2,#N/A,#N/A,64.4,206.618,#N/A,320.8,114.182,#N/A,43.1
1955,1,#N/A,15.341,106.663,1.963,54.726,4.551,37.5,#N/A,#N/A,62.8,209.376,#N/A,333.432,124.056,#N/A,43.1
1955,2,#N/A,15.645,107.786,1.987,55.373,4.613,37.4,#N/A,#N/A,63.0,214.172,#N/A,340.152,125.98,#N/A,43.1
1955,3,#N/A,15.86,109.424,1.998,56.192,4.635,37.4,#N/A,#N/A,62.9,218.645,#N/A,347.478,128.833,#N/A,43.1
1955,4,#N/A,15.933,110.65,2.016,56.733,4.662,37.5,#N/A,#N/A,63.2,223.029,#N/A,352.696,129.667,#N/A,43.2
1956,1,#N/A,15.835,110.355,2.068,56.841,4.783,37.3,#N/A,#N/A,64.5,228.236,#N/A,354.036,125.8,#N/A,43.2
1956,2,#N/A,15.971,110.664,2.11,57.128,4.847,37.3,#N/A,#N/A,65.1,233.473,#N/A,358.635,125.162,#N/A,43.5
1956,3,#N/A,15.903,110.209,2.131,56.862,4.846,37.3,#N/A,#N/A,64.9,234.889,#N/A,361.955,127.066,#N/A,44.0
1956,4,#N/A,16.192,109.91,2.18,56.784,4.915,37.2,#N/A,#N/A,64.8,239.584,#N/A,369.682,130.098,#N/A,44.4
1957,1,#N/A,16.291,109.855,2.224,56.801,4.973,37.2,#N/A,#N/A,64.8,244.294,#N/A,377.28,132.986,#N/A,44.7
1957,2,#N/A,16.206,109.255,2.246,57.043,4.98,36.8,#N/A,#N/A,65.0,245.375,#N/A,377.693,132.318,#N/A,45.1
1957,3,#N/A,16.358,109.164,2.266,56.961,4.98,36.9,#N/A,#N/A,64.5,247.386,#N/A,383.369,135.983,#N/A,45.5
1957,4,#N/A,16.144,106.616,2.307,56.294,5.045,36.4,#N/A,#N/A,65.1,245.912,#N/A,377.773,131.861,#N/A,45.7
1958,1,#N/A,15.603,103.772,2.322,54.976,5.018,36.3,#N/A,#N/A,65.4,240.932,#N/A,368.546,127.614,#N/A,46.3
1958,2,#N/A,15.676,102.813,2.329,54.132,5.001,36.5,#N/A,#N/A,64.6,239.488,#N/A,370.583,131.095,#N/A,46.6
1958,3,#N/A,16.081,103.582,2.392,54.449,5.139,36.6,#N/A,#N/A,64.8,247.803,#N/A,382.659,134.856,#N/A,46.5
1958,4,#N/A,16.524,105.187,2.399,54.946,5.148,36.8,#N/A,#N/A,63.9,252.332,#N/A,395.095,142.763,#N/A,46.6
1959,1,#N/A,16.916,106.807,2.434,55.644,5.213,36.9,#N/A,#N/A,64.2,259.917,#N/A,404.65,144.733,#N/A,46.7
1959,2,#N/A,17.358,109.33,2.432,56.744,5.201,37.1,#N/A,#N/A,64.0,265.901,#N/A,415.563,149.662,#N/A,46.8
1959,3,#N/A,17.326,108.314,2.464,56.397,5.242,36.9,#N/A,#N/A,64.1,266.845,#N/A,416.328,149.483,#N/A,47.0
1959,4,#N/A,17.333,108.218,2.496,56.473,5.28,36.9,#N/A,#N/A,64.6,270.156,#N/A,418.0,147.844,#N/A,47.3
1960,1,#N/A,17.765,107.935,2.562,56.665,5.414,36.6,#N/A,#N/A,64.3,276.58,#N/A,429.807,153.227,#N/A,47.3
1960,2,#N/A,17.563,108.998,2.552,56.777,5.36,36.9,#N/A,#N/A,65.3,278.156,#N/A,425.888,147.732,#N/A,47.6
1960,3,#N/A,17.633,108.838,2.55,56.641,5.352,37.0,#N/A,#N/A,64.8,277.496,#N/A,428.223,150.727,#N/A,47.6
1960,4,#N/A,17.295,107.602,2.574,56.368,5.369,36.7,#N/A,#N/A,65.8,276.963,#N/A,420.9,143.937,#N/A,47.9
1961,1,#N/A,17.394,107.016,2.598,56.073,5.408,36.7,#N/A,#N/A,65.6,278.053,#N/A,424.063,146.01,#N/A,48.0
1961,2,#N/A,17.75,105.787,2.656,55.736,5.53,36.5,#N/A,#N/A,64.9,280.93,#N/A,433.169,152.239,#N/A,48.0
1961,3,#N/A,18.124,106.541,2.675,55.945,5.548,36.6,#N/A,#N/A,64.3,284.959,#N/A,443.318,158.359,#N/A,48.2
1961,4,#N/A,18.477,107.583,2.705,56.308,5.603,36.7,#N/A,#N/A,64.2,291.043,#N/A,453.344,162.301,#N/A,48.3
1962,1,#N/A,18.844,108.69,2.732,56.803,5.636,36.8,#N/A,#N/A,63.9,296.891,#N/A,464.36,167.469,#N/A,48.5
1962,2,#N/A,19.006,109.266,2.764,56.948,5.682,36.9,#N/A,#N/A,64.4,302.048,#N/A,468.903,166.855,#N/A,48.7
1962,3,#N/A,19.251,108.691,2.787,56.699,5.712,36.9,#N/A,#N/A,63.7,302.905,#N/A,475.553,172.648,#N/A,48.8
1962,4,#N/A,19.289,107.931,2.82,56.476,5.767,36.8,#N/A,#N/A,63.9,304.409,#N/A,476.263,171.854,#N/A,48.9
1963,1,#N/A,19.515,108.744,2.836,56.759,5.781,36.8,#N/A,#N/A,63.8,308.448,#N/A,483.436,174.988,#N/A,49.1
1963,2,#N/A,19.74,109.43,2.85,56.921,5.797,37.0,#N/A,#N/A,63.7,311.842,#N/A,489.506,177.664,#N/A,49.2
1963,3,#N/A,20.231,109.389,2.892,57.146,5.847,36.8,#N/A,#N/A,63.0,316.342,#N/A,502.193,185.851,#N/A,49.5
1963,4,#N/A,20.364,109.976,2.921,57.375,5.889,36.9,#N/A,#N/A,63.1,321.197,#N/A,508.792,187.595,#N/A,49.6
1964,1,#N/A,20.864,111.382,2.938,57.669,5.901,37.1,#N/A,#N/A,62.7,327.265,#N/A,522.12,194.855,#N/A,49.8
1964,2,#N/A,21.086,112.373,2.961,57.792,5.937,37.4,#N/A,#N/A,63.0,332.754,#N/A,528.543,195.789,#N/A,49.9
1964,3,#N/A,21.453,112.993,2.998,58.347,5.998,37.2,#N/A,#N/A,62.8,338.778,#N/A,539.522,200.744,#N/A,50.0
1964,4,#N/A,21.482,113.713,3.025,58.642,6.023,37.3,#N/A,#N/A,63.4,343.976,#N/A,542.491,198.515,#N/A,50.2
1965,1,#N/A,22.115,115.112,3.052,58.996,6.058,37.5,#N/A,#N/A,62.6,351.282,#N/A,560.968,209.686,#N/A,50.4
1965,2,#N/A,22.397,116.611,3.067,59.84,6.05,37.5,#N/A,#N/A,62.7,357.662,#N/A,570.446,212.784,#N/A,50.7
1965,3,#N/A,22.94,116.415,3.106,59.94,6.108,37.3,#N/A,#N/A,61.7,361.557,#N/A,585.606,224.049,#N/A,50.8
1965,4,#N/A,23.518,117.629,3.143,60.389,6.148,37.5,#N/A,#N/A,61.3,369.684,#N/A,603.522,233.838,#N/A,51.1
1966,1,#N/A,24.174,118.794,3.217,60.852,6.236,37.5,#N/A,#N/A,61.3,382.188,#N/A,623.811,241.623,#N/A,51.6
1966,2,#N/A,24.195,119.646,3.274,61.556,6.289,37.4,#N/A,#N/A,62.2,391.702,#N/A,629.303,237.601,#N/A,52.1
1966,3,#N/A,24.328,119.878,3.327,61.886,6.336,37.3,#N/A,#N/A,62.5,398.844,#N/A,638.626,239.782,#N/A,52.5
1966,4,#N/A,24.471,119.614,3.381,61.939,6.387,37.1,#N/A,#N/A,62.4,404.455,#N/A,648.072,243.617,#N/A,52.9
1967,1,#N/A,24.673,119.537,3.411,62.165,6.427,37.0,#N/A,#N/A,62.2,407.738,#N/A,655.474,247.736,#N/A,53.1
1967,2,#N/A,24.637,118.354,3.474,62.07,6.505,36.7,#N/A,#N/A,62.6,411.106,#N/A,656.857,245.751,#N/A,53.4
1967,3,#N/A,24.844,119.086,3.512,62.454,6.511,36.7,#N/A,#N/A,62.5,418.204,#N/A,668.778,250.574,#N/A,53.9
1967,4,#N/A,25.014,119.628,3.553,62.874,6.517,36.6,#N/A,#N/A,62.5,425.054,#N/A,679.583,254.529,#N/A,54.5
1968,1,#N/A,25.58,119.732,3.658,63.069,6.643,36.5,#N/A,#N/A,62.3,437.966,#N/A,702.564,264.598,#N/A,55.1
1968,2,#N/A,26.041,120.655,3.722,63.422,6.694,36.6,#N/A,#N/A,62.1,449.051,#N/A,722.713,273.662,#N/A,55.6
1968,3,#N/A,26.23,121.325,3.791,63.713,6.728,36.6,#N/A,#N/A,62.7,459.924,#N/A,733.365,273.441,#N/A,56.3
1968,4,#N/A,26.333,122.04,3.866,64.355,6.777,36.5,#N/A,#N/A,63.2,471.8,#N/A,746.379,274.579,#N/A,57.0
