Year,Qtr,Labor productivity,Output,Hours worked,Hourly compensation,Employment,Real hourly compensation,Average weekly hours worked,Unit labor costs,Unit nonlabor payments,Labor share,Compensation,Implicit price deflator,Current dollar output,Nonlabor payments,Output per job,Consumer price series
1947,5,#N/A,10.933,86.877,1.404,43.772,3.91,38.2,#N/A,#N/A,65.4,121.952,#N/A,186.496,64.544,#N/A,35.9
1948,5,#N/A,11.389,88.261,1.526,44.718,3.933,38,#N/A,#N/A,64.9,134.671,#N/A,207.356,72.685,#N/A,38.8
1949,5,#N/A,11.297,84.839,1.571,43.438,4.099,37.6,#N/A,#N/A,64.3,133.241,#N/A,207.222,73.981,#N/A,38.3
1950,5,#N/A,12.439,87.571,1.664,44.493,4.288,37.8,#N/A,#N/A,63.2,145.69,#N/A,230.689,84.999,#N/A,38.8
1951,5,#N/A,13.36,91.706,1.808,46.501,4.319,37.9,#N/A,#N/A,62.8,165.782,#N/A,264.046,98.264,#N/A,41.9
1952,5,#N/A,13.766,92.716,1.908,47.075,4.471,37.9,#N/A,#N/A,63.7,176.872,#N/A,277.704,100.832,#N/A,42.7
1953,5,#N/A,14.459,95.068,2.014,48.475,4.684,37.7,#N/A,#N/A,64.4,191.434,#N/A,297.248,105.814,#N/A,43
1954,5,#N/A,14.241,91.828,2.078,47.164,4.799,37.4,#N/A,#N/A,64.6,190.855,#N/A,295.469,104.614,#N/A,43.3
1955,5,#N/A,15.448,95.525,2.154,48.589,4.993,37.8,#N/A,#N/A,63.1,205.784,#N/A,326.168,120.384,#N/A,43.1
1956,5,#N/A,15.737,97.885,2.285,49.972,5.219,37.7,#N/A,#N/A,65,223.7,#N/A,344.009,120.309,#N/A,43.8
1957,5,#N/A,16.051,97.336,2.418,50.258,5.345,37.2,#N/A,#N/A,65,235.354,#N/A,362.11,126.756,#N/A,45.2
1958,5,#N/A,15.735,93.249,2.514,48.483,5.403,37,#N/A,#N/A,65.1,234.428,#N/A,360.136,125.708,#N/A,46.5
1959,5,#N/A,17.045,97.579,2.611,50.232,5.572,37.4,#N/A,#N/A,64.3,254.748,#N/A,396.32,141.572,#N/A,46.9
1960,5,#N/A,17.345,98.134,2.723,50.767,5.715,37.2,#N/A,#N/A,65.5,267.245,#N/A,408.034,140.789,#N/A,47.7
1961,5,#N/A,17.723,97.087,2.814,50.383,5.846,37.1,#N/A,#N/A,65,273.204,#N/A,420.141,146.937,#N/A,48.1
1962,5,#N/A,18.935,99.223,2.926,51.322,6.019,37.2,#N/A,#N/A,64.1,290.354,#N/A,452.859,162.505,#N/A,48.6
1963,5,#N/A,19.803,100.342,3.026,51.902,6.143,37.2,#N/A,#N/A,63.6,303.684,#N/A,477.486,173.802,#N/A,49.3
1964,5,#N/A,21.124,104.095,3.119,53.17,6.249,37.6,#N/A,#N/A,62.9,324.659,#N/A,515.827,191.168,#N/A,49.9
1965,5,#N/A,22.644,108.127,3.223,55.041,6.355,37.8,#N/A,#N/A,62.2,348.454,#N/A,560.196,211.742,#N/A,50.7
1966,5,#N/A,24.272,111.876,3.413,57.207,6.543,37.6,#N/A,#N/A,62.2,381.819,#N/A,614.128,232.309,#N/A,52.2
1967,5,#N/A,24.727,111.849,3.612,58.163,6.717,37,#N/A,#N/A,62.6,403.996,#N/A,645.055,241.059,#N/A,53.8
1968,5,#N/A,26.044,113.823,3.884,59.53,6.933,36.8,#N/A,#N/A,62.6,442.131,#N/A,705.762,263.631,#N/A,56
1969,5,#N/A,26.844,117.092,4.15,61.672,7.024,36.5,#N/A,#N/A,63.9,485.926,#N/A,759.884,273.958,#N/A,59.1
1970,5,#N/A,26.809,115.235,4.439,61.709,7.106,35.9,#N/A,#N/A,64.6,511.538,#N/A,792.252,280.714,#N/A,62.5
1971,5,#N/A,27.811,115.02,4.712,61.895,7.226,35.7,#N/A,#N/A,63.2,541.918,#N/A,857.163,315.245,#N/A,65.2
1972,5,#N/A,29.684,118.629,5.019,63.769,7.457,35.8,#N/A,#N/A,63.1,595.35,#N/A,942.855,347.505,#N/A,67.3
1973,5,#N/A,31.84,123.451,5.401,66.594,7.556,35.6,#N/A,#N/A,63.7,666.739,#N/A,1047.207,380.468,#N/A,71.5
1974,5,#N/A,31.362,123.628,5.912,67.684,7.448,35.1,#N/A,#N/A,64.2,730.839,#N/A,1138.525,407.686,#N/A,79.4
1975,5,#N/A,30.85,118.34,6.535,65.719,7.544,34.6,#N/A,#N/A,62.4,773.299,#N/A,1239.215,465.916,#N/A,86.6
1976,5,#N/A,33.062,122.55,7.042,67.977,7.688,34.7,#N/A,#N/A,61.6,863.031,#N/A,1400.23,537.199,#N/A,91.6
1977,5,#N/A,34.96,127.388,7.62,71.069,7.81,34.5,#N/A,#N/A,61.7,970.651,#N/A,1572.694,602.043,#N/A,97.6
1978,5,#N/A,37.295,134.031,8.272,75.022,7.924,34.4,#N/A,#N/A,62,1108.723,#N/A,1787.505,678.782,#N/A,104.4
1979,5,#N/A,38.557,138.871,9.059,78.213,7.926,34.1,#N/A,#N/A,62.8,1258.082,#N/A,2002.661,744.579,#N/A,114.3
1980,5,#N/A,38.228,137.715,10.035,78.46,7.896,33.8,#N/A,#N/A,63.6,1382.009,#N/A,2174.43,792.421,#N/A,127.1
1981,5,#N/A,39.099,138.792,11,79.329,7.908,33.6,#N/A,#N/A,62.6,1526.727,#N/A,2437.012,910.285,#N/A,139.1
1982,5,#N/A,37.903,135.597,11.809,78.062,8.006,33.4,#N/A,#N/A,63.8,1601.299,#N/A,2508.224,906.925,#N/A,147.5
1983,5,#N/A,40.252,138.364,12.336,78.849,8.021,33.7,#N/A,#N/A,61.9,1706.83,#N/A,2756.953,1050.123,#N/A,153.8
1984,5,#N/A,43.658,146.795,12.865,83.081,8.031,34,#N/A,#N/A,61.5,1888.527,#N/A,3072.551,1184.024,#N/A,160.2
1985,5,#N/A,45.58,150.62,13.494,85.459,8.144,33.9,#N/A,#N/A,61.5,2032.526,#N/A,3305.94,1273.414,#N/A,165.7
1986,5,#N/A,47.304,151.778,14.273,86.968,8.466,33.6,#N/A,#N/A,62.3,2166.395,#N/A,3479.409,1313.014,#N/A,168.6
1987,5,#N/A,49.024,156.402,14.814,89.396,8.494,33.6,#N/A,#N/A,63.1,2316.997,#N/A,3673.201,1356.204,#N/A,174.4
1988,5,#N/A,51.257,160.887,15.573,92.244,8.618,33.5,#N/A,#N/A,63.3,2505.545,#N/A,3957.875,1452.33,#N/A,180.7
1989,5,#N/A,53.141,165.286,16.027,94.318,8.498,33.7,#N/A,#N/A,62.3,2649.08,#N/A,4252.76,1603.68,#N/A,188.6
1990,5,#N/A,53.935,164.948,16.991,95.012,8.585,33.4,#N/A,#N/A,62.8,2802.577,#N/A,4464.169,1661.592,#N/A,197.9
1991,5,#N/A,53.596,161.273,17.801,93.441,8.679,33.2,#N/A,#N/A,62.8,2870.884,#N/A,4574.664,1703.78,#N/A,205.1
1992,5,#N/A,55.774,160.615,18.908,92.952,8.995,33.2,#N/A,#N/A,62.7,3036.906,#N/A,4840.385,1803.479,#N/A,210.2
1993,5,#N/A,57.495,165.389,19.14,95.162,8.882,33.4,#N/A,#N/A,62,3165.556,#N/A,5106.15,1940.594,#N/A,215.5
1994,5,#N/A,60.141,171.786,19.329,98.271,8.786,33.6,#N/A,#N/A,61,3320.395,#N/A,5440.13,2119.735,#N/A,220
1995,5,#N/A,62.207,175.762,19.809,101.068,8.792,33.4,#N/A,#N/A,60.8,3481.613,#N/A,5726.655,2245.042,#N/A,225.3
1996,5,#N/A,65.006,179.87,20.494,103.471,8.86,33.4,#N/A,#N/A,60.8,3686.287,#N/A,6066.908,2380.621,#N/A,231.3
1997,5,#N/A,68.357,185.541,21.294,106.38,9.011,33.5,#N/A,#N/A,60.9,3950.821,#N/A,6490.642,2539.821,#N/A,236.3
1998,5,#N/A,71.978,189.552,22.528,108.783,9.406,33.5,#N/A,#N/A,62.1,4270.139,#N/A,6880.212,2610.073,#N/A,239.5
1999,5,#N/A,76.074,192.976,23.575,110.776,9.638,33.5,#N/A,#N/A,62.1,4549.456,#N/A,7329.186,2779.73,#N/A,244.6
2000,5,#N/A,79.678,195.627,25.231,112.735,9.976,33.4,#N/A,#N/A,63.3,4935.779,#N/A,7800.077,2864.298,#N/A,252.9
2001,5,#N/A,80.301,191.912,26.329,112.088,10.123,32.9,#N/A,#N/A,63.3,5052.802,#N/A,7983.94,2931.138,#N/A,260.1
2002,5,#N/A,81.686,187.134,26.937,109.539,10.196,32.9,#N/A,#N/A,61.5,5040.875,#N/A,8190.377,3149.502,#N/A,264.2
2003,5,#N/A,84.324,186.086,27.946,109.457,10.343,32.7,#N/A,#N/A,60.8,5200.359,#N/A,8551.286,3350.927,#N/A,270.2
2004,5,#N/A,87.883,188.507,29.219,110.945,10.529,32.7,#N/A,#N/A,60.4,5507.901,#N/A,9121.203,3613.302,#N/A,277.5
2005,5,#N/A,91.316,191.682,30.285,113.002,10.556,32.6,#N/A,#N/A,59.3,5805.147,#N/A,9793.492,3988.345,#N/A,286.9
2006,5,#N/A,94.438,196.083,31.449,115.227,10.618,32.7,#N/A,#N/A,59.2,6166.666,#N/A,10412.796,4246.13,#N/A,296.2
2007,5,#N/A,96.73,197.417,32.814,116.254,10.773,32.7,#N/A,#N/A,59.5,6477.963,#N/A,10878.916,4400.953,#N/A,304.6
2008,5,#N/A,95.74,193.193,33.753,114.573,10.671,32.4,#N/A,#N/A,59.6,6520.904,#N/A,10935.397,4414.493,#N/A,316.3
2009,5,#N/A,92.022,179.314,34.071,108.068,10.809,31.9,#N/A,#N/A,57.8,6109.429,#N/A,10566.804,4457.375,#N/A,315.2
2010,5,#N/A,95.045,179.119,34.714,106.778,10.834,32.3,#N/A,#N/A,56.4,6217.854,#N/A,11022.838,4804.984,#N/A,320.4
2011,5,#N/A,96.948,182.717,35.48,108.443,10.735,32.4,#N/A,#N/A,56.6,6482.752,#N/A,11460.652,4977.9,#N/A,330.5
2012,5,#N/A,100,186.874,36.422,110.624,10.792,32.5,#N/A,#N/A,56.5,6806.266,#N/A,12040.549,5234.283,#N/A,337.5
2013,5,#N/A,102.215,190.059,36.891,112.647,10.771,32.4,#N/A,#N/A,56.2,7011.404,#N/A,12485.899,5474.495,#N/A,342.5
2014,5,#N/A,105.435,194.38,37.928,114.936,10.889,32.5,#N/A,#N/A,56.2,7372.463,#N/A,13112.378,5739.915,#N/A,348.3
2015,5,#N/A,109.357,198.49,39.122,117.495,11.213,32.5,#N/A,#N/A,56.7,7765.304,#N/A,13694.08,5928.776,#N/A,348.9
2016,5,#N/A,111.34,201.411,39.543,119.616,11.189,32.4,#N/A,#N/A,56.6,7964.316,#N/A,14081.328,6117.012,#N/A,353.4
2017,5,#N/A,114.435,204.457,40.934,121.484,11.339,32.4,#N/A,#N/A,56.9,8369.146,#N/A,14714.334,6345.188,#N/A,361
2018,5,#N/A,118.42,208.57,42.306,123.758,11.44,32.4,#N/A,#N/A,56.7,8823.731,#N/A,15568.728,6744.997,#N/A,369.8
2019,5,#N/A,121.331,210.109,43.834,125.285,11.643,32.3,#N/A,#N/A,56.9,9209.947,#N/A,16193.767,6983.82,#N/A,376.5
